GameIndex,Player_1_name,Player_1_draws,Player_1_cells_left,Player_2_name,Player_2_draws,Player_2_cells_left,Player_3_name,Player_3_draws,Player_3_cells_left,Player_4_name,Player_4_draws,Player_4_cells_left,OpeningPlayer,Winner,PlayerCount,Score,Turns,Seed,CellsUndrawn,CellsOnTable,CellsAmountCheck
1,Rocket,3,4,Whateva,1,0,,,,,,,Whateva,Whateva,2,24,6,0,14,10,True
1,Rocket,1,0,Whateva,3,1,,,,,,,Whateva,Rocket,2,2,7,1,14,13,True
1,Rocket,2,0,Whateva,4,1,,,,,,,Whateva,Rocket,2,10,9,2,12,15,True
1,Whateva,7,3,Rocket,5,0,,,,,,,Rocket,Rocket,2,24,11,3,6,19,True
1,Rocket,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,11,4,4,18,9,True
1,Rocket,1,0,Whateva,1,1,,,,,,,Whateva,Rocket,2,6,6,5,16,11,True
1,Rocket,6,2,Whateva,4,0,,,,,,,Whateva,Whateva,2,14,11,6,8,18,True
1,Whateva,5,2,Rocket,6,0,,,,,,,Rocket,Rocket,2,17,13,7,7,19,True
1,Whateva,2,4,Rocket,0,0,,,,,,,Rocket,Rocket,2,21,4,8,16,8,True
1,Rocket,0,0,Whateva,1,1,,,,,,,Whateva,Rocket,2,5,5,9,17,10,True
1,Rocket,2,0,Whateva,3,2,,,,,,,Whateva,Rocket,2,18,8,10,13,13,True
2,Krecik,3,4,Whateva,1,0,,,,,,,Whateva,Whateva,2,24,6,0,14,10,True
2,Krecik,2,2,Whateva,3,0,,,,,,,Whateva,Whateva,2,10,7,1,13,13,True
2,Krecik,3,7,Whateva,0,0,,,,,,,Whateva,Whateva,2,36,4,2,15,6,True
2,Whateva,7,3,Krecik,5,0,,,,,,,Krecik,Krecik,2,24,11,3,6,19,True
2,Krecik,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,11,4,4,18,9,True
2,Krecik,9,2,Whateva,7,0,,,,,,,Whateva,Whateva,2,7,15,5,2,24,True
2,Krecik,6,2,Whateva,4,0,,,,,,,Whateva,Whateva,2,14,11,6,8,18,True
3,Diogenes,3,4,Whateva,1,0,,,,,,,Whateva,Whateva,2,24,6,0,14,10,True
3,Diogenes,1,0,Whateva,3,1,,,,,,,Whateva,Diogenes,2,2,7,1,14,13,True
3,Diogenes,2,0,Whateva,4,1,,,,,,,Whateva,Diogenes,2,10,9,2,12,15,True
3,Whateva,7,3,Diogenes,5,0,,,,,,,Diogenes,Diogenes,2,24,11,3,6,19,True
3,Diogenes,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,2,4,4,18,9,True
3,Diogenes,1,0,Whateva,1,1,,,,,,,Whateva,Diogenes,2,6,6,5,16,11,True
3,Diogenes,6,2,Whateva,4,0,,,,,,,Whateva,Whateva,2,14,11,6,8,18,True
3,Whateva,4,1,Diogenes,4,0,,,,,,,Diogenes,Diogenes,2,4,10,7,10,17,True
3,Whateva,2,4,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,21,4,8,16,8,True
3,Diogenes,0,0,Whateva,1,1,,,,,,,Whateva,Diogenes,2,7,5,9,17,10,True
3,Diogenes,2,0,Whateva,4,3,,,,,,,Whateva,Diogenes,2,23,8,10,12,13,True
3,Whateva,0,0,Diogenes,1,2,,,,,,,Diogenes,Whateva,2,19,5,11,17,9,True
3,Diogenes,0,1,Whateva,0,0,,,,,,,Whateva,Whateva,2,6,4,12,18,9,True
3,Whateva,0,1,Diogenes,0,0,,,,,,,Diogenes,Diogenes,2,3,4,13,18,9,True
3,Whateva,6,3,Diogenes,5,0,,,,,,,Diogenes,Diogenes,2,13,11,14,7,18,True
4,Protokół Zgredek,3,4,Whateva,1,0,,,,,,,Whateva,Whateva,2,24,6,0,14,10,True
4,Protokół Zgredek,1,0,Whateva,3,1,,,,,,,Whateva,Protokół Zgredek,2,2,7,1,14,13,True
4,Protokół Zgredek,2,0,Whateva,3,1,,,,,,,Whateva,Protokół Zgredek,2,10,9,2,13,14,True
